dow,lake_name,between,degree
26004000,elk,690,1002
56048100,west lost,4383,1003
16064500,toohey,828,1004
73020800,uhlenkolts,2260,1005
86028400,augusta,5890,1006
29011600,crow wing,461,1007
29003200,big bass,3394,1008
31075400,island,3330,1009
56056900,norway,6005,1010
69008000,nels,2104,1011
56087700,jewett,5798,1012
69044800,pine,318,1013
62000600,kohlman,767,1014
62002400,birch,1371,1015
49001500,long,1421,1015
11026300,child,1942,1017
36001800,bartlett,839,1018
26011700,cormorant,865,1019
72008900,clear,2734,1020
66001000,wells,902,1021
56078400,long,2447,1022
62001600,beaver,773,1023
62003800,vadnais,365,1024
69007000,low,1134,1025
3008800,bass,1718,1025
16063900,four mile,510,1027
62004600,pleasant,409,1028
56036900,six,2415,1029
43009800,eagle,3703,1030
1007000,round,6370,1031
21019900,crooked,1761,1032
11016200,rice,3597,1033
31082400,portage,627,1034
31082200,little ball club,1526,1035
31015700,bear,2666,1036
31012400,big sucker,3562,1037
31002300,helen,1926,1038
56050100,east spirit,1703,1039
21015000,grants,3382,1040
69088700,janette,6029,1041
69129000,little sturgeon,1186,1042
1013200,hanson,3004,1043
15014400,lindberg,1160,1044
72001300,silver,3661,1045
49003500,green prairie fish,6854,1046
38074400,stewart,6036,1047
40002800,pepin,2906,1048
31005100,stingy,1764,1049
4030000,whitefish,2271,1049
18011700,black hoof,4398,1051
4002400,gilstad,3285,1052
15013700,minnow,1707,1053
69021300,toe,317,1054
69093300,side,703,1055
38064000,ojibway,427,1056
29010400,unnamed,344,1057
27017900,little long,620,1058
38005300,dam five,959,1059
40007900,clear,2058,1060
56044800,anna,1355,1061
35000300,bronson,1294,1062
3050300,eunice,2662,1063
2001600,howard,1853,1064
3024600,big rat,1446,1065
31009300,little sand,6320,1066
4022700,long,757,1067
3065700,turtle,1114,1068
24001800,fountain,338,1069
38006800,windy,1198,1070
4015500,little turtle,1415,1071
38064200,wind,890,1072
62007300,snail,4362,1073
70006900,fish,4438,1074
3033400,net,4865,1075
86029800,union,2123,1076
10016100,unnamed,1358,1077
31062400,grave,4407,1078
16036900,white pine,816,1079
56055900,clear,7332,1080
15000500,ozawindib,5577,1081
18022700,o'brien,7787,1082
18013900,little rabbit,7064,1083
3020600,upper egg,515,1084
49008000,placid,574,1084
77002400,bass,2468,1084
